Export-URL;Impressionen;HTTP-Status;Finale Live-URL;Zugeordnete Projekt-URL;Mögliche Zielseite (ungeprüfte Inhaltsentscheidung);Zuordnung;Zeitraum
https://www.powertech-performance.com/adblue-deaktivieren-vor-nachteile-wahrheit/;6095;404;https://www.powertech-performance.com/adblue-deaktivieren-vor-nachteile-wahrheit/;;https://powertech-performance.com/blog/adblue-deaktivieren-vor-nachteile-wahrheit/;"keine Messwertübertragung; 404 / Inhaltszuordnung zu prüfen";unbekannt
https://www.powertech-performance.com/;130;200;https://www.powertech-performance.com/;https://powertech-performance.com/;;belegt durch identisches Live-Endziel;unbekannt
https://www.powertech-performance.com/auto-selber-waschen-erfurt/;48;404;https://www.powertech-performance.com/auto-selber-waschen-erfurt/;;https://powertech-performance.com/blog/auto-selber-waschen-erfurt/;"keine Messwertübertragung; 404 / Inhaltszuordnung zu prüfen";unbekannt
https://www.powertech-performance.com/chiptuning-raum-erfurt/;47;404;https://www.powertech-performance.com/chiptuning-raum-erfurt/;;https://powertech-performance.com/blog/chiptuning-raum-erfurt/;"keine Messwertübertragung; 404 / Inhaltszuordnung zu prüfen";unbekannt
https://www.powertech-performance.com/softwareoptimierung-dpf-off-erfurt/;33;404;https://www.powertech-performance.com/softwareoptimierung-dpf-off-erfurt/;;https://powertech-performance.com/blog/softwareoptimierung-dpf-off-erfurt/;"keine Messwertübertragung; 404 / Inhaltszuordnung zu prüfen";unbekannt
https://www.powertech-performance.com/adblue-deaktivierung/;22;404;https://www.powertech-performance.com/adblue-deaktivierung/;;https://powertech-performance.com/blog/adblue-deaktivierung/;"keine Messwertübertragung; 404 / Inhaltszuordnung zu prüfen";unbekannt
https://www.powertech-performance.com/adblue-deaktivieren/;21;404;https://www.powertech-performance.com/adblue-deaktivieren/;;https://powertech-performance.com/adblue-service;"keine Messwertübertragung; 404 / Inhaltszuordnung zu prüfen";unbekannt
https://www.powertech-performance.com/chiptuning/;17;404;https://www.powertech-performance.com/chiptuning/;;https://powertech-performance.com/chiptuning;"keine Messwertübertragung; 404 / Inhaltszuordnung zu prüfen";unbekannt
https://www.powertech-performance.com/blog/wie-oft-auto-aufbereiten-lassen.html;9;200;https://www.powertech-performance.com/blog/wie-oft-auto-aufbereiten-lassen.html;https://powertech-performance.com/blog/wie-oft-auto-aufbereiten-lassen.html;;belegt durch identisches Live-Endziel;unbekannt
https://www.powertech-performance.com/nordhausen/;8;404;https://www.powertech-performance.com/nordhausen/;;https://powertech-performance.com/nordhausen;"keine Messwertübertragung; 404 / Inhaltszuordnung zu prüfen";unbekannt
https://www.powertech-performance.com/blog/adblue-deaktivieren-vor-nachteile-wahrheit/;7;200;https://www.powertech-performance.com/blog/adblue-deaktivieren-vor-nachteile-wahrheit/;https://powertech-performance.com/blog/adblue-deaktivieren-vor-nachteile-wahrheit/;;belegt durch identisches Live-Endziel;unbekannt
https://www.powertech-performance.com/blog/wie-lange-dauert-adblue-off/;6;200;https://www.powertech-performance.com/blog/wie-lange-dauert-adblue-off/;https://powertech-performance.com/blog/wie-lange-dauert-adblue-off/;;belegt durch identisches Live-Endziel;unbekannt
https://www.powertech-performance.com/blog/boot-aufbereitung-keramikversiegelung-marine/;4;200;https://www.powertech-performance.com/blog/boot-aufbereitung-keramikversiegelung-marine/;https://powertech-performance.com/blog/boot-aufbereitung-keramikversiegelung-marine/;;belegt durch identisches Live-Endziel;unbekannt
https://www.powertech-performance.com/gotha/;4;404;https://www.powertech-performance.com/gotha/;;https://powertech-performance.com/gotha;"keine Messwertübertragung; 404 / Inhaltszuordnung zu prüfen";unbekannt
https://www.powertech-performance.com/fahrzeugaufbereitung-erfurt/;3;404;https://www.powertech-performance.com/fahrzeugaufbereitung-erfurt/;;https://powertech-performance.com/blog/fahrzeugaufbereitung-erfurt/;"keine Messwertübertragung; 404 / Inhaltszuordnung zu prüfen";unbekannt
https://www.powertech-performance.com/lackierung-oldtimer-erfurt-lackaufbereitung-keramik/;3;404;https://www.powertech-performance.com/lackierung-oldtimer-erfurt-lackaufbereitung-keramik/;;https://powertech-performance.com/blog/lackierung-oldtimer-erfurt-lackaufbereitung-keramik/;"keine Messwertübertragung; 404 / Inhaltszuordnung zu prüfen";unbekannt
https://www.powertech-performance.com/leasing-rueckgabe-aufbereitung-erfurt/;3;404;https://www.powertech-performance.com/leasing-rueckgabe-aufbereitung-erfurt/;;https://powertech-performance.com/blog/leasing-rueckgabe-aufbereitung-erfurt/;"keine Messwertübertragung; 404 / Inhaltszuordnung zu prüfen";unbekannt
https://www.powertech-performance.com/softwareoptimierung-erfurt/;3;404;https://www.powertech-performance.com/softwareoptimierung-erfurt/;;https://powertech-performance.com/blog/softwareoptimierung-erfurt/;"keine Messwertübertragung; 404 / Inhaltszuordnung zu prüfen";unbekannt
